City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Innisfail,AU,-17.5333,146.0333,78.71,84,77,3.18,broken clouds
80,Pevek,RU,69.7008,170.3133,-33.75,96,25,2.51,scattered clouds
81,Verkhnyaya Maksakovka,RU,61.635,50.9674,-0.38,92,0,6.71,clear sky
82,Guerrero Negro,MX,27.9769,-114.0611,64.18,49,5,3.83,clear sky
83,Ust-Nera,RU,64.5667,143.2,-40.74,98,69,0.76,broken clouds
84,Esperance,AU,-33.8667,121.9,51.64,60,62,7.74,broken clouds
85,Saint-Georges,GD,12.0564,-61.7485,80.28,89,75,0.0,broken clouds
86,Hermanus,ZA,-34.4187,19.2345,68.81,81,100,2.73,overcast clouds
87,Iracoubo,GF,5.4802,-53.2011,77.67,90,100,12.91,overcast clouds
88,Thompson,CA,55.7435,-97.8558,-0.24,78,90,3.44,light snow
89,Fortuna,US,40.5982,-124.1573,48.65,76,90,0.0,overcast clouds
90,Provideniya,RU,64.3833,-173.3,-10.17,88,54,5.48,broken clouds
91,Yellowknife,CA,62.456,-114.3525,10.42,89,90,8.05,light snow
92,Kouroussa,GN,10.65,-9.8833,90.77,12,98,3.8,overcast clouds
93,Skibbereen,IE,51.55,-9.2667,53.4,87,94,30.58,overcast clouds
94,Taoudenni,ML,22.6783,-3.9836,79.41,9,53,10.02,broken clouds
95,Tallahassee,US,30.4383,-84.2807,63.63,86,90,3.0,overcast clouds
96,Mafeteng,LS,-29.823,27.2374,70.16,54,100,9.22,overcast clouds
97,Acari,PE,-15.4311,-74.6158,76.55,69,79,10.54,broken clouds
98,Nelson Bay,AU,-32.7167,152.15,64.0,81,47,1.01,scattered clouds
99,Saint-Pierre,RE,-21.3393,55.4781,78.48,69,0,24.16,clear sky
100,Ushuaia,AR,-54.8,-68.3,46.06,71,75,34.52,light rain
101,Acapulco,MX,16.8634,-99.8901,82.22,74,1,5.75,clear sky
102,Tingo Maria,PE,-9.2895,-76.0088,81.66,79,83,2.3,broken clouds
103,Kieta,PG,-6.2167,155.6333,79.72,85,100,2.04,light rain
104,Fuxin,CN,42.0156,121.6589,19.65,45,0,3.98,clear sky
105,Katsuura,JP,35.1333,140.3,56.19,66,10,12.91,clear sky
106,Te Anau,NZ,-45.4167,167.7167,45.09,93,79,0.98,broken clouds
107,Castro,BR,-24.7911,-50.0119,86.18,28,89,6.33,overcast clouds
108,Lompoc,US,34.6391,-120.4579,60.13,83,1,4.61,clear sky
109,La Sarre,CA,48.8002,-79.1996,27.37,87,97,15.3,overcast clouds
110,Akdepe,TM,42.0551,59.3788,33.89,59,40,7.38,scattered clouds
111,Kailua,US,21.4022,-157.7394,73.38,52,83,21.23,broken clouds
112,Ancud,CL,-41.8697,-73.8203,58.53,66,91,14.18,overcast clouds
113,Juegang,CN,32.3174,121.1855,44.91,63,10,10.25,clear sky
114,Haines Junction,CA,60.7522,-137.5108,-4.05,59,100,4.61,overcast clouds
115,Sanmenxia,CN,34.7747,111.1814,37.2,44,0,5.12,clear sky
116,Nushki,PK,29.5542,66.0215,49.84,20,0,0.96,clear sky
117,Princeton,US,25.5384,-80.4089,85.01,71,40,8.05,scattered clouds
118,Dhandhuka,IN,22.3667,71.9833,73.38,40,0,11.12,clear sky
119,Guia De Isora,ES,28.2115,-16.7795,64.24,62,31,1.99,scattered clouds
120,Barkot,IN,30.8167,78.2,48.92,41,100,2.44,overcast clouds
121,Alangayam,IN,12.6,78.75,66.88,97,55,3.02,broken clouds
122,Puerto Leguizamo,CO,-0.1934,-74.7819,91.54,39,56,7.05,broken clouds
123,Cervo,ES,43.6702,-7.4101,53.96,83,22,3.87,few clouds
124,Airai,TL,-8.9266,125.4092,61.36,92,71,0.98,broken clouds
125,Bargarh,IN,21.3333,83.6167,67.19,47,1,2.98,clear sky
126,Natal,BR,-5.795,-35.2094,89.82,58,75,18.41,broken clouds
127,Along,IN,28.1667,94.7667,52.97,76,27,1.81,scattered clouds
128,Iranshahr,IR,27.2025,60.6848,61.14,21,0,0.0,clear sky
129,Saint Anthony,US,45.0205,-93.218,35.15,64,1,5.01,clear sky
130,Arenapolis,BR,-14.4503,-56.8461,78.13,84,100,6.06,overcast clouds
131,Georgetown,MY,5.4112,100.3354,82.89,82,20,5.01,few clouds
132,Geraldton,AU,-28.7667,114.6,63.01,72,27,11.5,scattered clouds
133,Norman Wells,CA,65.282,-126.8329,-2.16,71,90,19.57,light snow
134,Griffith,US,41.5284,-87.4237,44.11,61,1,5.01,clear sky
135,Pemangkat,ID,1.1667,108.9667,77.77,88,100,5.1,overcast clouds
136,College,US,64.8569,-147.8028,-5.8,69,90,0.0,light snow
137,Jiblah,YE,13.9216,44.1467,55.96,63,0,4.74,clear sky
138,Tambilil,PH,5.9622,124.6697,78.55,86,70,2.73,broken clouds
139,Bima,ID,-8.4667,118.7167,77.77,93,100,2.39,overcast clouds
140,Oussouye,SN,12.485,-16.5469,95.18,44,33,13.8,scattered clouds
141,Jamame,SO,0.0722,42.7506,79.05,79,19,8.01,few clouds
142,Frontera,MX,26.9333,-101.45,57.33,24,0,1.01,clear sky
143,Hasaki,JP,35.7333,140.8333,46.8,58,63,12.5,broken clouds
144,Kodiak,US,57.79,-152.4072,9.91,56,1,21.85,clear sky
145,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,21.85,scattered clouds
146,Marawi,PH,7.9986,124.2928,68.65,97,53,1.23,broken clouds
147,Kochi,IN,9.9399,76.2602,78.78,73,88,4.25,overcast clouds
148,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,16.11,light snow
149,Isoka,ZM,-10.1606,32.6335,71.89,55,96,5.79,overcast clouds
150,Belyy Yar,RU,53.6039,91.3903,24.69,69,0,4.47,clear sky
151,Steamboat Springs,US,40.485,-106.8317,37.11,73,1,6.91,clear sky
152,Isangel,VU,-19.55,169.2667,79.61,88,100,8.32,light rain
153,Yerbogachen,RU,61.2767,108.0108,-27.65,97,98,7.63,overcast clouds
154,Oistins,BB,13.0667,-59.5333,84.29,74,40,23.02,scattered clouds
155,Namie,JP,37.4833,141.0,48.97,66,41,1.01,scattered clouds
156,Talnakh,RU,69.4865,88.3972,-23.8,89,100,1.77,overcast clouds
157,San Cristobal,VE,7.7669,-72.225,75.38,39,88,4.9,overcast clouds
158,Cidreira,BR,-30.1811,-50.2056,75.7,70,7,9.42,clear sky
159,Hualmay,PE,-11.0964,-77.6139,72.37,72,32,10.25,scattered clouds
160,Conceicao Da Barra,BR,-18.5933,-39.7322,83.05,67,86,11.88,overcast clouds
161,Wilkie,CA,52.4168,-108.7014,22.89,91,79,9.95,broken clouds
162,Hami,CN,42.8,93.45,24.58,43,0,6.44,clear sky
163,Druzhba,UA,52.0428,33.9453,33.93,84,99,11.77,overcast clouds
164,Lagoa,PT,39.05,-27.9833,55.99,62,99,30.11,overcast clouds
165,Adrar,MR,20.5022,-10.0711,81.1,10,40,8.05,scattered clouds
166,Tual,ID,-5.6667,132.75,84.34,72,99,10.4,overcast clouds
167,Nalhati,IN,24.3,87.8167,64.35,37,0,6.82,clear sky
168,Mao,ES,39.8885,4.2658,52.36,82,20,5.75,few clouds
169,Khatanga,RU,71.9667,102.5,-51.86,100,76,1.86,broken clouds
170,Faya,SA,18.3851,42.4509,60.91,34,7,5.7,clear sky
171,Ust-Tsilma,RU,65.441,52.1498,10.24,95,99,3.62,overcast clouds
172,Camarillo,US,34.2164,-119.0376,62.04,40,1,1.99,clear sky
173,Beringovskiy,RU,63.05,179.3167,-25.08,95,74,10.04,broken clouds
174,Tanhacu,BR,-14.0214,-41.2481,82.54,61,88,8.57,overcast clouds
175,Tecoanapa,MX,16.5167,-98.75,84.85,60,12,3.53,few clouds
176,Kondinskoye,RU,59.6481,67.41,18.16,84,100,11.72,overcast clouds
177,Arkhara,RU,49.4212,130.0842,-3.42,93,89,11.74,overcast clouds
178,Butaritari,KI,3.0707,172.7902,82.09,73,100,17.0,overcast clouds
179,Husavik,IS,66.0449,-17.3389,40.91,78,92,18.57,overcast clouds
